size,text
50,台股
50,權值
50,外資
50,奈米
50,權值股
50,半導體
50,權證
50,大立光
50,晶圓
50,股今
40,盤中
40,個股
40,製程
40,類股
40,台股今
40,美股
40,蘋概股
40,金融股
40,奈米製程
40,聯電
30,漲逾
30,股台積電
30,蘋果
30,電子股
30,加權
30,盤面
30,台積電今
30,加權指數
30,聯發科
30,晶圓代工
20,收在
20,股漲
20,董事長張忠謀
20,多單
20,大漲
20,台積電董事
20,成交金額
20,大盤
20,終場
20,震盪
10,賣超
10,股今日
10,權值股台積電
10,開盤
10,成交值
10,的台積電
10,傳產
10,台積電董事長
10,股王大立光
10,買超
9,積電董事長張
9,電董事長張忠
9,點大關
9,台積電第
9,處理器
9,台積電在
9,跌逾
9,股也
9,廠台積電
9,權證市場
9,走勢
9,台指期
9,漲跌
9,台積電股
9,跌幅
9,包括台積電
9,龍頭台積電
9,股方面
9,先進製程
9,股指數
9,台積電的
9,是台積電
9,平盤
9,代工
9,漢微科
9,量能
9,股表現
9,英特爾
9,可成
8,百點
8,台股今日
8,認購
8,漲幅
8,下跌
8,翻紅
8,在台積電
8,股跌
8,電子權值股
8,台積電與
8,各股當天收盤
8,股當天收盤報
8,當天收盤報價
8,台積電今年
8,股開
8,國際股市
8,台積電等
8,半導體產業
8,台股加權
8,短線
8,代工廠台積電
